app_name,gender_id,count,mean,std,min,25%,50%,75%,max
Amazon Mobile (Mobile App),1.0,298.0,172.05595973154365,434.5666368502885,0.0756,4.0634999999999994,11.547899999999998,27.13095,5009.7096
Amazon Mobile (Mobile App),2.0,499.0,162.21169298597195,435.5427594327953,0.0378,2.835,9.7524,24.1164,3919.86
Amazon Music with Prime Music (Mobile App),1.0,59.0,139.95482033898304,333.5887183422635,0.0378,1.0773,3.969,17.766,1664.2584
Amazon Music with Prime Music (Mobile App),2.0,110.0,246.5285072727272,679.8898601922749,0.0756,1.5214499999999997,5.292,18.87165,3864.5208
Facebook (Mobile App),1.0,179.0,7233.854631284917,4114.2682941599105,0.0756,6283.796399999999,7435.1088,9271.1871,22724.4906
Facebook (Mobile App),2.0,366.0,7837.893722950821,4011.697808528719,0.1889999999999999,6541.77195,7725.9042,9793.42245,25093.908
Facebook Messenger (Mobile App),1.0,227.0,5496.66368722467,4508.309321088783,0.0378,25.2504,5275.7082,7848.3195,21164.22
Facebook Messenger (Mobile App),2.0,383.0,5817.059863707571,4475.281548533358,0.0378,2213.5302,5816.7396,7940.8161,23060.7594
Google Play (Mobile App),1.0,333.0,139.39584324324326,455.49713316596524,0.1512,8.3538,16.1406,24.8346,4326.5502
Google Play (Mobile App),2.0,584.0,206.26968082191777,1124.6638145437714,0.1512,8.9208,16.877699999999997,24.7968,18907.4844
Google Search (Mobile App),1.0,329.0,846.7721617021277,3609.142827163476,0.0378,1.5876,7.182,20.8656,50897.4354
Google Search (Mobile App),2.0,562.0,725.336868683274,2988.009751681539,0.0378,1.8333,6.7662,18.1629,39685.1616
GroupMe (Mobile App),1.0,30.0,230.52834,454.17499202396044,0.2268,4.88565,17.3124,352.3716,1903.608
GroupMe (Mobile App),2.0,48.0,198.64608750000002,355.6157271021579,0.2646,5.9346,13.3056,356.6241,1483.6878
Instagram (Mobile App),1.0,206.0,1760.3926077669898,2423.3301075734003,0.0756,7.9947,23.7384,2846.0754,11940.7554
Instagram (Mobile App),2.0,384.0,1527.4965234375002,2140.939309870962,0.0756,4.60215,19.8639,2797.7764500000003,11761.7346
Kindle (Mobile App),1.0,69.0,727.1876347826088,2542.7500638378187,0.0378,0.945,3.7044,16.8588,14741.0928
Kindle (Mobile App),2.0,138.0,632.1409043478261,1739.9709412259895,0.0378,0.8694,3.6666,18.833849999999998,10761.4332
Microsoft Word (Mobile App),1.0,63.0,45.0336,95.68818697170984,0.1134,1.8333,10.8486,22.207500000000003,554.904
Microsoft Word (Mobile App),2.0,121.0,27.532770247933883,104.45029489473501,0.0756,2.268,8.5806,13.6836,1079.7192
Netflix (Mobile App),1.0,124.0,1201.7851548387096,2860.9405777257916,0.1134,1.9278,6.8418,23.99355,17731.224
Netflix (Mobile App),2.0,250.0,1174.9591727999998,3533.439818396208,0.0756,2.4948,9.2043,25.174799999999998,29667.4812
Outlook (Mobile App),1.0,47.0,369.3140425531914,522.6483829394439,0.6804,4.158,13.5702,869.5134,1452.8808
Outlook (Mobile App),2.0,75.0,461.06071199999997,966.7290930071479,0.0756,5.859,15.6492,665.9037000000001,5977.8432
Pinterest (Mobile App),1.0,155.0,447.6595470967742,858.8606690499292,0.1134,3.6288,10.7352,830.1069,4791.4902
Pinterest (Mobile App),2.0,250.0,541.4019912,926.0274922426404,0.0378,2.35305,12.7008,934.70895,4495.7808
Sam's Club (Mobile App),1.0,15.0,60.168779999999984,82.66439337033812,5.0652,8.98695,27.3672,78.9264,317.5578
Sam's Club (Mobile App),2.0,36.0,18.4737,38.297015067078014,0.3024,2.2491,6.1425,13.90095,168.77700000000002
Sam's Club Scan & Go (Mobile App),1.0,7.0,52.3152,105.38664630530758,0.3779999999999999,0.945,2.3436,39.368700000000004,282.8574
Sam's Club Scan & Go (Mobile App),2.0,29.0,27.239462068965516,60.94619374113304,0.0378,0.6804,2.7216,15.876,229.5972
Snapchat (Mobile App),1.0,180.0,1038.56403,1573.7394603750843,0.0756,6.1425,24.0597,1835.3506499999999,8601.579
Snapchat (Mobile App),2.0,314.0,1102.6184159235668,1541.1128622127903,0.0756,6.4826999999999995,24.381,1866.21435,12171.9402
Tumblr (Mobile App),1.0,28.0,1407.1009500000002,3863.185925301218,0.1134,1.4080499999999998,6.5583,26.3844,19314.4014
Tumblr (Mobile App),2.0,43.0,1381.3350697674418,3239.3692861240884,0.0756,2.1546000000000003,9.639,2377.9035,19528.4628
Walmart (Mobile App),1.0,158.0,92.72340000000001,179.67891181219423,0.0756,5.1408000000000005,15.309000000000001,127.6695,1133.2062
Walmart (Mobile App),2.0,288.0,68.456325,153.19566918896288,0.0378,5.20695,14.6475,27.027,1318.5396
Yahoo Mail (Mobile App),1.0,80.0,614.657295,812.6869585053431,0.1512,3.27915,21.9618,983.934,4023.1674
Yahoo Mail (Mobile App),2.0,154.0,575.4738272727272,875.4376353850517,0.0378,3.2413499999999997,17.236800000000002,959.26005,3859.758
Yahoo Newsroom (Mobile App),1.0,14.0,6.8337,8.550556910607547,0.1512,0.6804,2.9295,11.1699,29.3706
Yahoo Newsroom (Mobile App),2.0,30.0,232.77366,749.2988913296615,0.1134,4.52655,14.4774,23.360400000000002,3920.994
YouTube (Mobile App),1.0,296.0,2173.3210885135136,3915.944935076033,0.0756,4.8006,18.805500000000002,3605.8176000000003,31266.6102
YouTube (Mobile App),2.0,508.0,1945.297233070866,3741.9541610335596,0.0756,5.47155,18.8622,3103.9281,27866.4246
